loss,acc,val_loss,val_acc
0.411224179318295,0.869350016117096,0.08337006514050299,0.9753000140190125
0.2362212851777207,0.9293333292007446,0.060759971724494245,0.9811999797821045
0.20846776432129432,0.9349833130836487,0.05759985099926926,0.9817000031471252
0.19325156863409113,0.9408000111579895,0.04857540271362886,0.9846000075340271
0.1801643238135468,0.9452833533287048,0.05248142174651693,0.984499990940094
0.17094417633804213,0.9475333094596863,0.05145108379380254,0.9850000143051147
0.17064496717938504,0.9490833282470703,0.046341550735847344,0.9857000112533569
0.16275728170781137,0.9510166645050049,0.044256866636023184,0.9858999848365784
0.1604817443017045,0.9519000053405762,0.049011346704786046,0.9836000204086304
0.15961523415510262,0.9523333311080933,0.04297125894396595,0.9872000217437744
0.156629387808506,0.953083336353302,0.04163326655684814,0.9865000247955322
0.15435499170943512,0.9537500143051147,0.04189655569729657,0.9871000051498413
